"date","value"
2019.06.01,3.9095666666666666
2019.06.02,3.8973333333333335
2019.06.03,3.8851
2019.06.04,3.8542
2019.06.05,3.8808
2019.06.06,3.8795
2019.06.07,3.8774
2019.06.08,3.8807333333333336
2019.06.09,3.8840666666666666
2019.06.10,3.8874
2019.06.11,3.8569
2019.06.12,3.8669
2019.06.13,3.8485
2019.06.14,3.8956
2019.06.15,3.8931
2019.06.16,3.8906
2019.06.17,3.8881
2019.06.18,3.8595
2019.06.19,3.8388
2019.06.20,3.8386
2019.06.21,3.819
2019.06.22,3.8209333333333335
2019.06.23,3.8228666666666666
2019.06.24,3.8248
2019.06.25,3.8478
2019.06.26,3.8433
2019.06.27,3.8194
2019.06.28,3.8518
2019.06.29,3.8479
2019.06.30,3.844
2019.07.01,3.8401
2019.07.02,3.8447
2019.07.03,3.8258
2019.07.04,3.8008
2019.07.05,3.8215
2019.07.06,3.8164333333333333
2019.07.07,3.8113666666666663
2019.07.08,3.8063
2019.07.09,3.8
2019.07.10,3.7543
2019.07.11,3.754
2019.07.12,3.7358
2019.07.13,3.7423666666666664
2019.07.14,3.7489333333333335
2019.07.15,3.7555
2019.07.16,3.768
2019.07.17,3.7632
2019.07.18,3.7187
2019.07.19,3.7481
2019.07.20,3.7455
2019.07.21,3.7429
2019.07.22,3.7403
2019.07.23,3.7735
2019.07.24,3.7726
2019.07.25,3.7783
2019.07.26,3.7753
2019.07.27,3.7773
2019.07.28,3.7793
2019.07.29,3.7813
2019.07.30,3.7896
2019.07.31,3.8125
2019.08.01,3.8388
2019.08.02,3.8883
2019.08.03,3.9181333333333335
2019.08.04,3.9479666666666664
2019.08.05,3.9778
2019.08.06,3.9603
2019.08.07,3.9682
2019.08.08,3.9188
2019.08.09,3.9406
2019.08.10,3.9555
2019.08.11,3.9704
2019.08.12,3.9853
2019.08.13,3.9646
2019.08.14,4.0522
2019.08.15,3.9908
2019.08.16,4.0054
2019.08.17,4.028266666666666
2019.08.18,4.0511333333333335
2019.08.19,4.074
2019.08.20,4.0529
2019.08.21,4.026
2019.08.22,4.0704
2019.08.23,4.1196
2019.08.24,4.132033333333333
2019.08.25,4.144466666666667
2019.08.26,4.1569
2019.08.27,4.13
2019.08.28,4.1677
2019.08.29,4.1685
2019.08.30,4.1445
2019.08.31,4.1582333333333334
2019.09.01,4.171966666666666
2019.09.02,4.1857
2019.09.03,4.1678
2019.09.04,4.0948
2019.09.05,4.1081
2019.09.06,4.0607
2019.09.07,4.071899999999999
2019.09.08,4.0831
2019.09.09,4.0943
2019.09.10,4.0798
2019.09.11,4.0671
2019.09.12,4.0602
2019.09.13,4.084
2019.09.14,4.0827
2019.09.15,4.0813999999999995
2019.09.16,4.0801
2019.09.17,4.0773
2019.09.18,4.1106
2019.09.19,4.1672
2019.09.20,4.1472
2019.09.21,4.152433333333333
2019.09.22,4.157666666666667
2019.09.23,4.1629
2019.09.24,4.1647
2019.09.25,4.1477
2019.09.26,4.1707
2019.09.27,4.1599
2019.09.28,4.1583000000000006
2019.09.29,4.1567
2019.09.30,4.1551
2019.10.01,4.1578
2019.10.02,4.1287
2019.10.03,4.0832
2019.10.04,4.0551
2019.10.05,4.072333333333334
2019.10.06,4.089566666666666
2019.10.07,4.1068
2019.10.08,4.0942
2019.10.09,4.1089
2019.10.10,4.1089
2019.10.11,4.1094
2019.10.12,4.114766666666666
2019.10.13,4.120133333333333
2019.10.14,4.1255
2019.10.15,4.1805
2019.10.16,4.1505
2019.10.17,4.163
2019.10.18,4.1105
2019.10.19,4.1165
2019.10.20,4.1225
2019.10.21,4.1285
2019.10.22,4.0817
2019.10.23,4.0337
2019.10.24,4.0401
2019.10.25,4.0029
2019.10.26,3.998666666666667
2019.10.27,3.9944333333333337
2019.10.28,3.9902
2019.10.29,3.998
2019.10.30,3.9895
2019.10.31,4.0174
2019.11.01,3.9897
2019.11.02,3.9982
2019.11.03,4.0067
2019.11.04,4.0152
2019.11.05,3.9935
2019.11.06,4.0834
2019.11.07,4.1004
2019.11.08,4.1633
2019.11.09,4.1594
2019.11.10,4.1555
2019.11.11,4.1516
2019.11.12,4.1675
2019.11.13,4.1702
2019.11.14,4.1949
2019.11.15,4.1957
2019.11.16,4.203033333333334
2019.11.17,4.210366666666666
2019.11.18,4.2177
2019.11.19,4.1942
2019.11.20,4.1955
2019.11.21,4.193
2019.11.22,4.1962
2019.11.23,4.206333333333333
2019.11.24,4.216466666666667
2019.11.25,4.2266
2019.11.26,4.233
2019.11.27,4.2636
2019.11.28,4.19
2019.11.29,4.2364
2019.11.30,4.231933333333333
2019.12.01,4.2274666666666665
2019.12.02,4.223
2019.12.03,4.2063
2019.12.04,4.2077
2019.12.05,4.1856
2019.12.06,4.1411
2019.12.07,4.141466666666666
2019.12.08,4.1418333333333335
2019.12.09,4.1422
2019.12.10,4.1467
2019.12.11,4.1238
2019.12.12,4.0905
2019.12.13,4.108
2019.12.14,4.092933333333333
2019.12.15,4.077866666666667
2019.12.16,4.0628
2019.12.17,4.0716
2019.12.18,4.063
2019.12.19,4.0694
2019.12.20,4.1022
2019.12.21,4.0959
2019.12.22,4.0896
2019.12.23,4.0833
2019.12.24,4.0833
2019.12.25,4.0838
2019.12.26,4.0557
2019.12.27,4.0456
2019.12.28,4.036766666666667
2019.12.29,4.027933333333333
2019.12.30,4.0191
2019.12.31,4.019
2020.01.01,4.0195
2020.01.02,4.026
2020.01.03,4.0669
2020.01.04,4.065133333333334
2020.01.05,4.063366666666667
2020.01.06,4.0616
2020.01.07,4.0676
2020.01.08,4.0647
2020.01.09,4.0925
2020.01.10,4.096
2020.01.11,4.112866666666667
2020.01.12,4.129733333333333
2020.01.13,4.1466
2020.01.14,4.1326
2020.01.15,4.1753
2020.01.16,4.1847
2020.01.17,4.1616
2020.01.18,4.171
2020.01.19,4.1804
2020.01.20,4.1898
2020.01.21,4.2123
2020.01.22,4.1826
2020.01.23,4.1703
2020.01.24,4.1814
2020.01.25,4.190066666666667
2020.01.26,4.198733333333333
2020.01.27,4.2074
2020.01.28,4.1943
2020.01.29,4.2303
2020.01.30,4.243
2020.01.31,4.282
2020.02.01,4.270533333333334
2020.02.02,4.259066666666667
2020.02.03,4.2476
2020.02.04,4.2545
2020.02.05,4.2353
2020.02.06,4.2822
2020.02.07,4.3203
2020.02.08,4.3218
2020.02.09,4.3233
2020.02.10,4.3248
2020.02.11,4.3316
2020.02.12,4.3548
2020.02.13,4.3498
2020.02.14,4.2974
2020.02.15,4.307266666666666
2020.02.16,4.3171333333333335
2020.02.17,4.327
2020.02.18,4.3557
2020.02.19,4.3649
2020.02.20,4.3933
2020.02.21,4.3895
2020.02.22,4.388933333333333
2020.02.23,4.388366666666667
2020.02.24,4.3878
2020.02.25,4.3878
2020.02.26,4.4502
2020.02.27,4.4861
2020.02.28,4.4733
2020.02.29,4.473533333333333
2020.03.01,4.473766666666667
2020.03.02,4.474
2020.03.03,4.5144
2020.03.04,4.5847
2020.03.05,4.6073
2020.03.06,4.6269
2020.03.07,4.658966666666666
2020.03.08,4.691033333333333
2020.03.09,4.7231
2020.03.10,4.6425
2020.03.11,4.8136
2020.03.12,4.791
2020.03.13,4.858
2020.03.14,4.9054
2020.03.15,4.9528
2020.03.16,5.0002
2020.03.17,5.0084
2020.03.18,5.1064
2020.03.19,5.0957
2020.03.20,5.0627
2020.03.21,5.089933333333334
2020.03.22,5.117166666666667
2020.03.23,5.1444
2020.03.24,5.0983
2020.03.25,5.0353
2020.03.26,5.0212
2020.03.27,5.0997
2020.03.28,5.131
2020.03.29,5.1623
2020.03.30,5.1936
2020.03.31,5.2046
2020.04.01,5.2493
2020.04.02,5.2533
2020.04.03,5.3506
2020.04.04,5.329166666666667
2020.04.05,5.307733333333333
2020.04.06,5.2863
2020.04.07,5.2214
2020.04.08,5.1233
2020.04.09,5.107
2020.04.10,5.1063
2020.04.11,5.137333333333333
2020.04.12,5.1683666666666666
2020.04.13,5.1994
2020.04.14,5.1621
2020.04.15,5.2367
2020.04.16,5.2333
2020.04.17,5.2363
2020.04.18,5.263133333333333
2020.04.19,5.2899666666666665
2020.04.20,5.3168
2020.04.21,5.3163
2020.04.22,5.458
2020.04.23,5.5335
2020.04.24,5.5907
2020.04.25,5.6113333333333335
2020.04.26,5.631966666666666
2020.04.27,5.6526
2020.04.28,5.4999
2020.04.29,5.3348
2020.04.30,5.4858
2020.05.01,5.4856
2020.05.02,5.5054
2020.05.03,5.5252
2020.05.04,5.545
2020.05.05,5.5783
2020.05.06,5.714
2020.05.07,5.8307
2020.05.08,5.7319
2020.05.09,5.7606
2020.05.10,5.7893
2020.05.11,5.818
2020.05.12,5.8856
2020.05.13,5.8852
2020.05.14,5.8115
2020.05.15,5.8554
2020.05.16,5.809933333333333
2020.05.17,5.764466666666667
2020.05.18,5.719
2020.05.19,5.754
2020.05.20,5.6925
2020.05.21,5.5507
2020.05.22,5.5338
2020.05.23,5.504566666666667
2020.05.24,5.475333333333333
2020.05.25,5.4461
2020.05.26,5.345
2020.05.27,5.2733
2020.05.28,5.4045
2020.05.29,5.3361
2020.05.30,5.345166666666667
2020.05.31,5.354233333333333
2020.06.01,5.3633
2020.06.02,5.2014
2020.06.03,5.0622
2020.06.04,5.119
2020.06.05,4.9585
2020.06.06,4.913333333333333
2020.06.07,4.868166666666667
2020.06.08,4.823
2020.06.09,4.8992
2020.06.10,4.9732
2020.06.11,4.976
2020.06.12,5.0505
2020.06.13,5.085566666666667
2020.06.14,5.120633333333334
2020.06.15,5.1557
2020.06.16,5.243
2020.06.17,5.2286
2020.06.18,5.3776
2020.06.19,5.3105
2020.06.20,5.291133333333334
2020.06.21,5.271766666666666
2020.06.22,5.2524
2020.06.23,5.1542
2020.06.24,5.3467
2020.06.25,5.3561
2020.06.26,5.484
2020.06.27,5.457133333333333
2020.06.28,5.430266666666667
2020.06.29,5.4034
2020.06.30,5.4661